numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista
11,Katie Lawson,Patricia Reynolds,SVXA16230297135119,7,0,,2012-02-24T16:01:26,0,0,1000000,AprovadoAnalista,De 31 a 50 % - Médio,0.603773585,0.396226415,-0.509151573,800000,,2019-06-30T03:00:00,2127907,704245,3609498,2538787,366465,973971,942096,4575646,296634,6,-3299332,2011,De 6 a 10 anos,20000,FALSE,TRUE,0,81000,2020-02-05T15:15:10
12,Ellie Turner,Mohamed Welch,ELQK41348591516215,26,0,,2017-12-20T17:03:32,0,0,200000,AprovadoComite,De 31 a 50 % - Médio,0.58490566,0.41509434,-3.00E-15,50000,2020-02-05T19:14:37,2018-12-31T02:00:00,5369982,6118711,5595689,-720844,1715000,115000,1693990,13871246,-772398,12,-9455401,2009,De 11 a 16 anos,600000,FALSE,FALSE,0,183509,
13,Kathleen Jones,Toby Coleman,TWLY57287382223459,3,0,,2019-10-10T11:47:29,0,0,1138000,AprovadoAnalista,De 31 a 50 % - Médio,0.509433962,0.490566038,0,1138000,,,,,,,,,,0,0,1,0,2017,De 0 a 5 anos,100000,FALSE,TRUE,0,33000,2020-02-04T17:42:58
14,Nicole Fry,Lewis Harris,PVQV57475295829119,52,0,,2006-05-01T13:18:05,0,0,350000,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1,0,0,,,,,,,,,,,,,,,,,,,,0,,
15,Anthony Moore-Jones,Terence Dean-Thompson,XLNC07002754445884,4,0.314575245,0,2019-03-08T00:00:00,0,0,200000,AprovadoAnalista,De 11 a 30 % - Baixo,0.79245283,0.20754717,-0.866025404,200000,,2018-12-31T02:00:00,11780048,11680162,12582116,901953,1567918,6873822,2017848,36783195,-312950,12,-25744597,1990,Acima de 17 anos,530000,FALSE,FALSE,1,3257020,2020-02-05T16:06:44
16,Karen Manning,Gavin Coleman,WHQL39719346986330,28,0,,2011-08-08T11:28:00,0,0,750000,AprovadoAnalista,De 31 a 50 % - Médio,0.603773585,0.396226415,0.961985288,750000,,2018-12-31T02:00:00,198271531,107180320,218446735,111266414,10499029,116371889,42968287,538430217,10266414,12,-346633805,1999,Acima de 17 anos,100000,FALSE,TRUE,0,349779,2020-02-05T20:34:47
17,Daniel Shepherd,Charles Hughes,NXRJ16458301617069,19,0,,2009-05-30T11:49:31,0,0,3900000,AprovadoAnalista,De 31 a 50 % - Médio,0.622641509,0.377358491,-0.750772915,3900000,,2018-12-31T02:00:00,198271531,107180320,218446735,111266414,10499029,116371889,42968287,538430217,10216020,12,-346633805,1992,Acima de 17 anos,2000000,TRUE,FALSE,0,0,2020-02-06T15:02:37
18,Louise Baker,Martin Andrews,RAYM82479248299653,2,0.307893701,0,2018-07-10T00:00:00,0,0,40000,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1,0,0,,,,,,,,,,,,,,,,,,,,1,,
19,Mr. John Clarke,Nicola Vaughan,IOFP88433962679693,4,0,,2018-06-13T17:43:00,0,0,350000,AprovadoAnalista,De 11 a 30 % - Baixo,0.698113208,0.301886792,-0.866025404,350000,,2018-12-31T02:00:00,198271531,107180320,218446735,111266414,10499026,116371889,42968287,538430217,10216020,12,-346633805,1992,Acima de 17 anos,2000000,TRUE,FALSE,0,0,2020-02-06T13:56:55
20,Brian Harris,Dr. Jeremy Thomas,EVNK64152188336281,5,0.394118376,0,2016-01-20T00:00:00,0,0,2000000,AprovadoAnalista,De 11 a 30 % - Baixo,0.886792453,0.113207547,0,1600000,,2018-12-31T02:00:00,1164378,50773,1164378,1113605,0,0,0,57950454,18419747,12,39530707,1994,Acima de 17 anos,4500000,FALSE,FALSE,0.999975855,7057328,2020-02-13T19:25:07
21,Dr. Terry Smith,Dr. Mary Stokes,HMFO23636187362512,40,0.458051889,0,2017-11-22T00:00:00,0,12882.35,34000,AprovadoAnalista,De 31 a 50 % - Médio,0.566037736,0.433962264,-0.866025404,34000,,,,,,,,,,2915470,1034268,12,-852138,2009,De 11 a 16 anos,150000,FALSE,TRUE,1,2700,2020-02-05T20:08:45
22,Marilyn Chan-Anderson,Raymond Parker,PCVI24213068479712,60,0.375781156,0,2014-03-31T00:00:00,1,2400.02,350000,AprovadoComite,De 51 a 80 % - Alto,0.471698113,0.528301887,0.999990122,180000,2020-02-07T18:57:37,2018-12-31T02:00:00,1164378,1164378,1164378,1113605,0,0,0,1976986,339799,12,832480,2008,De 11 a 16 anos,50000,TRUE,TRUE,0.691342299,46253,
23,Mary Smith,Mr. Leon Smith,HMOW17454360616914,18,0.6915,0,2013-02-18T00:00:00,0,0,50000,AprovadoAnalista,De 31 a 50 % - Médio,0.679245283,0.320754717,7.50E-15,50000,,2018-12-31T00:00:00,3670009,139759,3775553,3414586,0,1444038,788280,9077423,1182617,12,-6807767,2009,De 11 a 16 anos,900000,FALSE,TRUE,0.991828842,539660,2020-02-05T20:17:07
24,Mr. Danny Davies,Gerard Marshall-Clarke,VPSW77029129679550,35,0.310474276,0,2017-09-06T00:00:00,25,46949.3,320000,AprovadoComite,De 31 a 50 % - Médio,0.566037736,0.433962264,0,200000,2020-02-21T12:42:19,2019-06-30T03:00:00,436463830,463089426,732841447,-112089780,141143911,128135703,153339372,282662079,52217624,6,258298725,1996,Acima de 17 anos,96791092,TRUE,FALSE,0.769472193,25641275,
25,Lynda Saunders,Katherine Clements,LCKD90518287718177,6,0,,2010-05-21T17:12:17,0,0,50000,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1,0,0,,,,,,,,,,,,,,,,,,,,0,,
26,Barry Whitehead,Mrs. Dawn Kay,LSWO05242442631373,14,0.286028253,0,2009-06-17T00:00:00,0,0,300000,AprovadoAnalista,De 11 a 30 % - Baixo,0.735849057,0.264150943,0,300000,,,,,,,,,,30348455,0,12,0,2006,De 11 a 16 anos,1000000,FALSE,FALSE,1,1895888,2020-02-19T13:22:46
27,Miss Dorothy Phillips,Mr. Kenneth Brooks,SPWA04763690788971,23,0.553692138,0,2007-03-15T00:00:00,0,0,70000,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1,0,0,,,,,,,,,,,,,,,,,,,,1,,
28,Declan Bolton,Marcus Stewart,GMDC41398326600676,0,0,,2019-12-19T17:29:40,0,0,15000,ReprovadoAnalista,De 31 a 50 % - Médio,0.566037736,0.433962264,0,,,,,,,,,,,47730,0,12,0,2008,De 11 a 16 anos,72400,TRUE,TRUE,0,0,
29,Robin Turner,Mr. Terence Johnson,XYYW56476871254905,4,0.441271458,0,2018-04-25T00:00:00,0,0,100000,AprovadoAnalista,De 11 a 30 % - Baixo,0.735849057,0.264150943,-0.866025404,100000,,2018-12-31T02:00:00,7906301,26941726,7906301,7492447,0,3019632,2086571,23161787,5752085,12,14712042,2014,De 6 a 10 anos,150000,FALSE,TRUE,1,102862,2020-02-06T14:07:01
30,Fiona Weston,Aimee Marshall,LIYU34722071053277,11,0.53571232,0,2018-06-26T00:00:00,0,0,20000,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1,0,0,,,,,,,,,,,,,,,,,,,,1,,
31,Debra Wood,Adrian West,KENB40610230940169,0,0,,2016-08-25T17:20:08,0,0,30000,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1,0,0,,,,,,,,,,,,,,,,,,,,0,,
32,Elliott Rose,Deborah Jones-Gibson,JJJO86195665960207,9,0.593273637,0,2016-11-18T00:00:00,31,5549.21,50000,AprovadoAnalista,De 31 a 50 % - Médio,0.603773585,0.396226415,0,20000,,2019-12-31T00:00:00,395460,235201,395460,53053,102438,0,342845,1011836,-55361,12,-645988,2003,Acima de 17 anos,88000,FALSE,TRUE,1,788688,2020-02-05T20:46:45
33,Mrs. Joyce Palmer,Sarah Singh,NGUK12954301438508,0,0.336340563,0,2017-08-07T00:00:00,0,0,10000,AprovadoAnalista,De 31 a 50 % - Médio,0.603773585,0.396226415,0,10000,,,,,,,,,,480000,0,12,0,1997,Acima de 17 anos,5000,FALSE,TRUE,1,12420,2020-02-05T18:33:21
34,Mr. Josh Parker,Mohamed Walker,AJIA58482400691635,807,0,,2007-07-02T17:09:55,0,0,20000,AprovadoAnalista,De 51 a 80 % - Alto,0.396226415,0.603773585,-0.035713915,10000,,,,,,,,,,0,0,1,0,1992,Acima de 17 anos,1400000,FALSE,TRUE,0,527934,2020-02-05T17:21:49
35,Lauren Kirk-Fleming,Charlene Miller,KRJP50358458487256,13,0,,2018-11-21T17:48:51,0,0,30000,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1,0,0,,,,,,,,,,,,,,,,,,,,0,,
36,Hayley Wilson-Watkins,Mrs. Sharon Fox,LTLQ00302498552900,0,0.473709634,0,2019-02-22T00:00:00,0,0,40000,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1,0,0,,,,,,,,,,,,,,,,,,,,1,,
37,Dr. Leslie Mitchell,Brandon Lewis,UQUH72595348437743,135,0.387283882,0,2018-06-13T00:00:00,0,0,30000,ReprovadoAnalista,De 31 a 50 % - Médio,0.509433962,0.490566038,-0.929780077,,,2019-12-31T00:00:00,1592690,1592690,1592690,1165590,0,0,1475537,1421389,1387232,12,2554508,2012,De 6 a 10 anos,100000,TRUE,TRUE,1,0,
38,Dr. Henry Jones,Toby Taylor,RKYL60948261495604,3,0.457666699,0,2009-06-29T00:00:00,0,0,30000,AprovadoAnalista,De 11 a 30 % - Baixo,0.716981132,0.283018868,0,30000,,,,,,,,,,3359403,0,12,0,2008,De 11 a 16 anos,78800,FALSE,TRUE,1,52800,2020-02-05T18:37:57
39,Carly Murphy,Dr. Wayne Williams,DXVE26432648734958,4,0.531841803,0,2011-08-16T00:00:00,0,0,20000,AprovadoAnalista,De 11 a 30 % - Baixo,0.735849057,0.264150943,0,20000,,,,,,,,,,2316989,0,12,0,2010,De 6 a 10 anos,99800,FALSE,TRUE,1,88000,2020-02-05T18:39:17
40,Mr. Thomas Ward,Pamela Jackson,WGWU96704999062054,17,0,,2018-10-05T17:27:12,0,0,15000,AprovadoAnalista,De 51 a 80 % - Alto,0.339622642,0.660377358,-0.866025404,10000,,,,,,,,,,102444,0,7,0,2016,De 0 a 5 anos,95400,FALSE,TRUE,0,1600,2020-02-05T18:41:20
41,Danny Kennedy,Paige Simpson,IJVB13269462571891,3,0,,2011-08-02T17:13:06,0,0,20000,AprovadoAnalista,De 11 a 30 % - Baixo,0.849056604,0.150943396,0,20000,,,,,,,,,,5159452,0,6,0,1992,Acima de 17 anos,200000,FALSE,FALSE,0,1091250,2020-02-06T20:38:55
42,Oliver Nelson,Diane Mellor,JNZU40131737101208,0,0.432734212,0,2020-01-15T00:00:00,0,0,10000,ReprovadoAnalista,De 31 a 50 % - Médio,0.490566038,0.509433962,0,,,,,,,,,,,172560,0,12,0,2019,De 0 a 5 anos,5000,FALSE,TRUE,1,1120,
43,Dr. Michael North,Leah Sheppard,IYZA05872767332466,2,0,,2013-09-30T17:15:04,0,0,20000,AprovadoAnalista,De 11 a 30 % - Baixo,0.716981132,0.283018868,0,20000,,2019-12-31T00:00:00,437853,272388,450614,178225,0,0,201085,624350,-3319,12,-431401,2008,De 11 a 16 anos,40000,FALSE,TRUE,0,10800,2020-02-05T18:48:03
44,Mrs. Tina Cox,William Miller,SLUA32337517673766,0,0.358979681,0,2018-01-09T00:00:00,0,0,20000,AprovadoAnalista,De 11 a 30 % - Baixo,0.830188679,0.169811321,0,20000,,,,,,,,,,47595914,0,12,0,2006,De 11 a 16 anos,550000,FALSE,FALSE,1,3687008,2020-02-05T18:49:27
45,Philip Haynes,Dr. Luke Perkins,TVUP59036702738493,2,0,,2017-05-18T17:21:49,0,0,15000,AprovadoAnalista,De 31 a 50 % - Médio,0.509433962,0.490566038,0,11000,,,,,,,,,,756924,0,12,0,1994,Acima de 17 anos,30000,TRUE,TRUE,0,12800,2020-02-05T16:18:55
47,Neil Wilson-Moore,Connor Lloyd,NQVD66927247638857,43,0.370070145,0,2006-06-01T00:00:00,0,2480,15000,AprovadoAnalista,De 31 a 50 % - Médio,0.679245283,0.320754717,0,15000,,,,,,,,,,2179468,0,12,0,2005,De 11 a 16 anos,60000,FALSE,TRUE,1,7020,2020-02-05T18:50:41
49,Miss Olivia Charlton,Martin Horton,LAOH78168410122240,10,0.390872154,0,2014-11-06T00:00:00,0,0,40000,AprovadoAnalista,De 51 a 80 % - Alto,0.452830189,0.547169811,-0.802648387,15000,,,,,,,,,,1019546,0,12,0,2000,Acima de 17 anos,10000,FALSE,TRUE,1,5920,2020-02-05T18:54:53
50,Sylvia Bryant,Abbie McLean-Fowler,DFGK41630869614960,3,0.43539221,0,2017-07-04T00:00:00,0,0,30000,AprovadoAnalista,De 31 a 50 % - Médio,0.509433962,0.490566038,0,10000,,,,,,,,,,311260,0,12,0,2017,De 0 a 5 anos,10000,FALSE,TRUE,1,6400,2020-02-05T19:10:43
51,Dr. Billy Wells,Dr. Christopher Saunders,DDGD62654890764375,3,0.353361435,0,2018-03-22T00:00:00,0,0,80000,ReprovadoAnalista,De 11 a 30 % - Baixo,0.698113208,0.301886792,0,,,2019-10-31T03:00:00,17040601,10487000,17603497,1931629,2268831,10328670,6615614,438103964,2916036,12,-27592668,2008,De 11 a 16 anos,600000,TRUE,TRUE,1,2700,
52,Alison Ali,Philip Daniels,UHSZ57059363067433,0,0,,2019-04-22T17:28:19,0,0,7000,AprovadoAnalista,De 31 a 50 % - Médio,0.622641509,0.377358491,0,7000,,,,,,,,,,0,0,1,0,2008,De 11 a 16 anos,100000,FALSE,TRUE,0,8800,2020-02-05T19:12:13
53,Toby Atkins,Dr. Christopher Saunders,DDMD82941295966539,6,0.372090891,0,2018-01-31T00:00:00,0,0,50000,AprovadoAnalista,De 31 a 50 % - Médio,0.528301887,0.471698113,-0.866025404,50000,,,,,,,,,,43810396,0,12,0,2008,De 11 a 16 anos,600000,TRUE,TRUE,1,2700,2020-02-06T16:52:55
54,Dr. Leigh Clarke,Terence Nicholls,ASBJ52162229993512,3,0.418682831,0,2006-09-01T00:00:00,0,3591.24,40000,AprovadoAnalista,De 11 a 30 % - Baixo,0.735849057,0.264150943,1.15E-14,40000,,,,,,,,,,3101081,0,12,0,1998,Acima de 17 anos,60000,FALSE,FALSE,0.994654109,99900,2020-02-05T19:15:50
55,Kate Blackburn,Gareth Hussain,YIQH62542186185688,2,0.560710386,0,2018-08-23T00:00:00,55,5400,20000,AprovadoAnalista,De 31 a 50 % - Médio,0.603773585,0.396226415,0,20000,,,,,,,,,,6230653,0,12,0,2015,De 0 a 5 anos,300000,FALSE,TRUE,1,38000,2020-02-05T19:05:38
56,Ms. Marion Parsons,Dr. Adrian Gilbert,YKMA43405696220284,18,0.448130494,0,2019-09-26T00:00:00,21,2192,20000,AprovadoAnalista,De 11 a 30 % - Baixo,0.735849057,0.264150943,0,20000,,,,,,,,,,333210,0,1,0,2012,De 6 a 10 anos,800000,FALSE,TRUE,1,0,2020-02-06T15:06:10
57,Gordon Jones-Hopkins,Sara Reid-Robson,KJND32266018316396,20,0,,2017-02-13T17:20:27,0,0,22000,AprovadoAnalista,De 51 a 80 % - Alto,0.452830189,0.547169811,-0.685620326,15000,,,,,,,,,,1285274,0,12,0,2013,De 6 a 10 anos,30000,FALSE,TRUE,0,5920,2020-02-05T16:09:52
58,Mr. Andrew Bruce,Robin North,VYPC07643507109960,4,0.475258585,0,2015-03-27T00:00:00,0,0,100000,AprovadoAnalista,De 11 a 30 % - Baixo,0.773584906,0.226415094,0,100000,,2019-12-31T03:00:00,3789231,846020,4149907,521942,772841,2231773,2894639,117090514,499790,12,-7231554,2011,De 6 a 10 anos,100000,FALSE,TRUE,1,221884,2020-02-06T14:04:23
59,Brian Ferguson,Mr. Charles Thomas,FIGO66059539305030,3,0.42276953,0,2019-03-12T00:00:00,12,2916,10000,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1,0,0,,,,,,,,,,,,,,,,,,,,1,,
60,Marian Booth,Ms. Jane Spencer,EMAG70468864729136,6,0,,2006-05-12T17:07:19,0,0,50000,AprovadoAnalista,De 31 a 50 % - Médio,0.622641509,0.377358491,0,50000,,,,,,,,,,2876710,0,12,0,1999,Acima de 17 anos,30303,FALSE,TRUE,0,129000,2020-02-06T13:58:05
61,Julia Williams,Sandra Campbell,LOHT42032319683132,18,0.291127928,0,2013-12-04T00:00:00,67,100850.04,50000,ReprovadoAnalista,De 51 a 80 % - Alto,0.471698113,0.528301887,0.866025404,,,,,,,,,,,8983936,0,12,0,2006,De 11 a 16 anos,95400,TRUE,TRUE,0.962687229,0,
62,Iain McDonald,Angela Walker,XUUV78911816655220,5,0.429255171,0,2012-05-14T00:00:00,0,0,20000,ReprovadoAnalista,De 31 a 50 % - Médio,0.641509434,0.358490566,0,,,,,,,,,,,2498876,0,12,0,2009,De 11 a 16 anos,95000,TRUE,TRUE,1,34400,
63,John Mason,Natalie Law-Allen,OQOK79209296914616,18,0,,2017-11-28T17:03:44,0,0,100000,AprovadoAnalista,De 51 a 80 % - Alto,0.41509434,0.58490566,0.637951802,40000,,,,,,,,,,10631840,0,12,0,2016,De 0 a 5 anos,95400,FALSE,TRUE,0,8500,2020-02-06T15:04:37
64,Grace Morton-Blake,Bruce Harrison,XVFX90049646219876,23,0,,2012-12-28T11:31:43,0,0,50000,AprovadoAnalista,De 31 a 50 % - Médio,0.547169811,0.452830189,0,50000,,,,,,,,,,0,0,1,0,2003,Acima de 17 anos,150000,FALSE,FALSE,0,10789514,2020-02-06T17:26:15
65,Brenda Clarke,Dr. Mohamed Phillips,APRH60376910869961,36,0.50483049,0,2011-10-14T00:00:00,48,95983.74,150000,AprovadoAnalista,De 31 a 50 % - Médio,0.603773585,0.396226415,0,150000,,2019-12-31T03:00:00,2197,-355509,922394,50000,0,497220,103615,2920793,-171329,12,235486,2010,De 6 a 10 anos,50000,FALSE,TRUE,1,152000,2020-02-06T17:21:05
66,Sylvia Rose,Mrs. Kerry Hudson,QTYV59257984651476,8,0.290897474,0,2013-04-25T00:00:00,0,0,30000,AprovadoAnalista,De 31 a 50 % - Médio,0.509433962,0.490566038,-0.080030181,30000,,,,,,,,,,0,0,1,0,2007,De 11 a 16 anos,15000,FALSE,TRUE,1,7400,2020-02-06T17:27:06
67,Jeffrey Wright,Brett Marsh,LTJB33941153397394,4,0.574293651,0,2013-05-16T00:00:00,105,15520,25000,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.943396226,0.056603774,0,25000,,2019-12-31T00:00:00,11301537,7753324,12270860,4517535,0,7142416,2872736,73828034,1605229,12,-43339992,2004,De 11 a 16 anos,30000,FALSE,FALSE,1,6167959,2020-02-06T20:45:11
68,Dale O'Sullivan-Moore,Nathan Jones,KDZJ41266928454221,19,0.479845025,0,2018-10-22T00:00:00,41,8880,20000,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1,0,0,,,,,,,,,,,,,,,,,,,,1,,
70,Ronald Moore,Susan Payne,QNFU52239521391746,3,0.65052427,0,2013-11-06T00:00:00,0,0,20000,AprovadoAnalista,De 11 a 30 % - Baixo,0.716981132,0.283018868,0,20000,,,,,,,,,,3365514,0,12,0,2000,Acima de 17 anos,68000,FALSE,TRUE,1,19000,2020-02-06T17:27:57
71,Mr. Julian Scott,Julian Brown,MJEK50274612793018,7,0.387733267,0,2013-02-25T00:00:00,63,10368,20000,AprovadoAnalista,De 11 a 30 % - Baixo,0.716981132,0.283018868,0,20000,,2018-12-31T00:00:00,382348,890140,627034,460656,0,128803,212674,1177807,0,12,0,2012,De 6 a 10 anos,50000,FALSE,TRUE,1,44000,2020-02-06T17:28:44
72,Graham Shah,Mrs. Anna Nolan,AYAR81652684519982,0,0.467926951,0,2016-06-29T00:00:00,0,0,20000,AprovadoAnalista,De 31 a 50 % - Médio,0.622641509,0.377358491,0,20000,,,,,,,,,,2518727,0,9,0,2008,De 11 a 16 anos,99800,TRUE,TRUE,1,0,2020-02-06T20:56:27
73,Denis Williams,Stuart Parkinson,FECA48063802482890,19,0,,2017-04-11T17:21:38,0,0,50000,AprovadoAnalista,De 31 a 50 % - Médio,0.679245283,0.320754717,-0.866025404,40000,,2019-07-31T00:00:00,714851,188269,728846,1402031,0,652153,0,1249651,302367,7,2183996,2008,De 11 a 16 anos,100000,FALSE,TRUE,0,165850,2020-02-06T21:06:07
74,Dr. Lisa Fry,Toby Taylor,BLKC38813122527211,5,0.281503509,0,2016-09-02T00:00:00,0,0,10000,AprovadoAnalista,De 51 a 80 % - Alto,0.377358491,0.622641509,0,10000,,,,,,,,,,1185074,0,12,0,2016,De 0 a 5 anos,88000,FALSE,TRUE,0.817889588,7040,2020-02-05T20:15:04
75,Jenna King,Gordon Taylor,VOME11582233946922,26,0,,2017-03-20T17:21:27,0,0,10000,AprovadoAnalista,De 31 a 50 % - Médio,0.547169811,0.452830189,0,10000,,,,,,,,,,1700308,0,12,0,1989,Acima de 17 anos,5000,FALSE,TRUE,0,13690,2020-02-06T17:29:34
76,Mrs. Amanda Nicholson,Stuart Wade,PHDP25171211120966,5,0.800299885,0,2017-11-24T00:00:00,0,0,10000,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1,0,0,,,,,,,,,,,,,,,,,,,,1,,
79,Kathryn Freeman,Ms. Carolyn Scott,AINE36470635590293,5,0,,2014-10-24T14:24:50,0,0,100000,AprovadoAnalista,De 11 a 30 % - Baixo,0.830188679,0.169811321,0.866025404,100000,,2018-12-31T02:00:00,10882979,7804759,12351125,801768,0,1552196,1119576,11235564,-405113,12,6920713,1996,Acima de 17 anos,2000000,FALSE,FALSE,0,808597,2020-02-06T17:11:35
80,Jamie Gregory-Rees,Joel Evans,SXQL48789557445419,16,0.638754286,0,2018-07-25T00:00:00,23,7000,25000,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1,0,0,,,,,,,,,,,,,,,,,,,,1,,
81,Dennis Harris-Williams,Eileen Sharp,YSLA86292727347504,4,0,,2016-04-20T17:19:49,0,0,40000,AprovadoAnalista,De 31 a 50 % - Médio,0.641509434,0.358490566,0,40000,,,,,,,,,,3302878,0,12,0,1996,Acima de 17 anos,60000,TRUE,TRUE,0,101200,2020-02-07T13:24:55
82,Dr. Sean Adams,Tracy Collins,TNLN84241632543111,33,0,,2018-10-31T10:41:59,0,0,3000,AprovadoAnalista,De 51 a 80 % - Alto,0.452830189,0.547169811,-0.866025404,3000,,,,,,,,,,0,0,1,0,2006,De 11 a 16 anos,300000,FALSE,TRUE,0,63000,2020-02-06T17:30:44
83,Geoffrey Johnson,Tracy Collins,CLUV86507137794361,33,0.277743063,0,2018-10-30T00:00:00,0,0,3000,AprovadoAnalista,De 31 a 50 % - Médio,0.509433962,0.490566038,0,3000,,,,,,,,,,0,0,1,0,2012,De 6 a 10 anos,300000,FALSE,TRUE,1,36000,2020-02-06T17:31:59
84,Dr. Vincent Brown,Mr. Ronald Yates,CWUM99747550174285,7,0.445384329,0,2011-08-31T00:00:00,0,0,5000,AprovadoAnalista,De 31 a 50 % - Médio,0.566037736,0.433962264,0,5000,,,,,,,,,,0,0,1,0,2007,De 11 a 16 anos,100000,FALSE,TRUE,1,16280,2020-02-05T20:34:05
